category	n_target	pct_target	n_genome	pct_genome	odds_ratio	p_value	fold_enrichment	p_adj	significant
DNA_repair	47	0.8655616942909761	70	0.8459214501510574	1.0712791477194712	0.8995435592106524	1.0232175743225467	1.0	False
cell_division	12	0.22099447513812157	19	0.229607250755287	0.8979591836734694	0.8124021401371817	0.9624890956673452	1.0	False
hypothetical	730	13.443830570902392	1081	13.06344410876133	1.1036067163726737	0.1592734200420489	1.0291183901407706	0.4778202601261467	False
metabolism	949	17.476979742173114	1444	17.450151057401815	1.005434843863766	0.9513787882855411	1.0015374471363054	1.0	False
secondary_metabolism	7	0.1289134438305709	11	0.13293051359516617	0.9167895998524802	1.0	0.9697806797254311	1.0	False
sigma_factor	56	1.0313075506445673	78	0.9425981873111783	1.3371451771154041	0.2818470012003566	1.0941115361004863	0.5110212680166769	False
transcriptional_regulator	404	7.440147329650092	641	7.746223564954683	0.8845413134401534	0.1532415095804193	0.960487038266061	0.4778202601261467	False
transport	417	7.679558011049724	655	7.9154078549848945	0.9111763197199886	0.2839007044537094	0.9702037029226941	0.5110212680166769	False
two_component	73	1.3443830570902393	128	1.5468277945619335	0.6912620700188369	0.048420278902270755	0.8691226404235727	0.43578251012043684	False
