tier	window	n_BS	total_width_bp	BS_with_methyl	BS_with_methyl_pct	n_4mC_obs	n_4mC_exp	fold_4mC	p_4mC	n_6mA_obs	n_6mA_exp	fold_6mA	p_6mA	n_any_obs	n_any_exp	fold_any	p_any
Tier1	direct	782	166105	63	8.1	34	51.6	0.659	0.006023429017182427	41	62.2	0.659	0.0027349938082686237	75	113.9	0.659	6.817375510929722e-05
Tier1	±50bp	782	244305	100	12.8	58	75.9	0.764	0.01957724565713682	67	91.5	0.732	0.004404982691374756	125	167.5	0.746	0.0003617604016033216
Tier1	±200bp	782	478905	210	26.9	123	148.8	0.827	0.016876089765710492	143	179.5	0.797	0.0028061646882703126	266	328.3	0.81	0.0002195562612286955
All	direct	782	166105	63	8.1	34	51.6	0.659	0.006023429017182427	41	62.2	0.659	0.0027349938082686237	75	113.9	0.659	6.817375510929722e-05
All	±50bp	782	244305	100	12.8	58	75.9	0.764	0.01957724565713682	67	91.5	0.732	0.004404982691374756	125	167.5	0.746	0.0003617604016033216
All	±200bp	782	478905	210	26.9	123	148.8	0.827	0.016876089765710492	143	179.5	0.797	0.0028061646882703126	266	328.3	0.81	0.0002195562612286955
