TF_name	TF_gene_id	n_BS	n_BS_tier1	n_BS_with_methyl	n_methyl_sites	TF_log2FC_T2vsT1	TF_padj_T2vsT1	TF_log2FC_T3vsT1	TF_padj_T3vsT1
actII-ORF4	SC_RS27585	3	3	0	0	1.9854878028690233	4.664076720967501e-14	6.435870540124959	6.340036627731633e-136
bldD	SC_RS09420	5	5	0	0	-1.05479477317521	2.6937232535070297e-05	-1.899293122841404	3.0093522992941845e-14
sigR	SC_RS28260	25	25	4	5	1.6882147654829212	4.943823392400908e-12	0.1000394418578028	0.7192257165740392
sigE	SC_RS27900	44	44	5	6	-0.7668411556411651	0.0008449908248735	0.7605915590574691	0.0007290878715714
sigE	SC_RS18895	44	44	5	6	0.3591860452126257	0.1722209771603981	-0.6833312780743299	0.0063357545366833
sigB	SC_RS04925	70	70	9	12	-1.2591318297701912	6.036519699991251e-07	-1.2623042038035506	3.641081436198965e-07
phoP	SC_RS40380	38	38	6	10	-0.9093049722529218	0.0102510060237176	1.0871533653685916	0.0001460063844104
phoP	SC_RS23335	38	38	6	10	4.227598677186286	1.5193361150205949e-71	1.4200512406826833	1.2403554705053132e-09
dasR	SC_RS28335	80	80	2	4	-0.8772459390097801	1.414165512046845e-05	-1.1825421868300867	1.363893183062421e-09
glnR	SC_RS22985	27	27	6	10	-1.610509703085793	7.1798300105783776e-12	-2.406062070837708	1.3579436292949303e-24
Rex	SC_RS18705	20	20	0	0	-1.2898718884289853	5.4686615703079054e-08	-1.8135586240784864	2.1286552447580735e-14
DraR	SC_RS17430	20	20	3	3	0.4668719232189372	0.0256914086569692	-0.6508592634966578	0.0012886841155741
AbrC3	SC_RS25135	7	7	2	2	-0.6323857389663057	0.0007952439757071	-0.8058519147902131	8.88342563346002e-06
