gene_1,gene_2,pair_type
SCO0185,SCO0186,KOP
SCO0186,SCO0187,KOP
SCO0187,SCO0188,KOP
SCO0189,SCO0190,KOP
SCO0190,SCO0191,KOP
SCO0194,SCO0195,KOP
SCO0195,SCO0196,KOP
SCO0198,SCO0199,KOP
SCO0199,SCO0200,KOP
SCO0216,SCO0217,KOP
SCO0217,SCO0218,KOP
SCO0218,SCO0219,KOP
SCO0242,SCO0243,KOP
SCO0379,SCO0380,KOP
SCO0387,SCO0388,KOP
SCO0392,SCO0393,KOP
SCO0393,SCO0394,KOP
SCO0394,SCO0395,KOP
SCO0395,SCO0396,KOP
SCO0411,SCO0412,KOP
SCO0560,SCO0561,KOP
SCO0569,SCO0570,KOP
SCO0569,SCO0570,KOP
SCO0586,SCO0587,KOP
SCO0598,SCO0599,KOP
SCO0684,SCO0685,KOP
SCO0701,SCO0702,KOP
SCO0740,SCO0741,KOP
SCO0773,SCO0774,KOP
SCO0808,SCO0809,KOP
SCO0833,SCO0834,KOP
SCO0922,SCO0923,KOP
SCO0923,SCO0924,KOP
SCO0950,SCO0951,KOP
SCO0961,SCO0962,KOP
SCO0991,SCO0992,KOP
SCO0993,SCO0994,KOP
SCO0994,SCO0995,KOP
SCO1087,SCO1088,KOP
SCO1088,SCO1089,KOP
SCO1206,SCO1207,KOP
SCO1207,SCO1208,KOP
SCO1222,SCO1223,KOP
SCO1244,SCO1245,KOP
SCO1356,SCO1357,KOP
SCO1385,SCO1386,KOP
SCO1411,SCO1412,KOP
SCO1431,SCO1432,KOP
SCO1438,SCO1439,KOP
SCO1440,SCO1441,KOP
SCO1483,SCO1484,KOP
SCO1490,SCO1491,KOP
SCO1494,SCO1495,KOP
SCO1508,SCO1509,KOP
SCO1511,SCO1512,KOP
SCO1519,SCO1520,KOP
SCO1567,SCO1568,KOP
SCO1577,SCO1578,KOP
SCO1578,SCO1579,KOP
SCO1594,SCO1595,KOP
SCO1626,SCO1627,KOP
SCO1627,SCO1628,KOP
SCO1628,SCO1629,KOP
SCO1629,SCO1630,KOP
SCO1634,SCO1635,KOP
SCO1643,SCO1644,KOP
SCO1644,SCO1645,KOP
SCO1645,SCO1646,KOP
SCO1646,SCO1647,KOP
SCO1659,SCO1660,KOP
SCO1660,SCO1661,KOP
SCO1661,SCO1662,KOP
SCO1699,SCO1700,KOP
SCO1703,SCO1704,KOP
SCO1766,SCO1767,KOP
SCO1814,SCO1815,KOP
SCO1864,SCO1865,KOP
SCO1865,SCO1866,KOP
SCO1866,SCO1867,KOP
SCO1888,SCO1889,KOP
SCO1919,SCO1920,KOP
SCO1920,SCO1921,KOP
SCO1921,SCO1922,KOP
SCO1922,SCO1923,KOP
SCO1923,SCO1924,KOP
SCO1935,SCO1936,KOP
SCO1936,SCO1937,KOP
SCO1937,SCO1938,KOP
SCO1945,SCO1946,KOP
SCO1946,SCO1947,KOP
SCO1949,SCO1950,KOP
SCO1968,SCO1969,KOP
SCO2008,SCO2009,KOP
SCO2009,SCO2010,KOP
SCO2011,SCO2012,KOP
SCO2036,SCO2037,KOP
SCO2037,SCO2038,KOP
SCO2049,SCO2050,KOP
SCO2050,SCO2051,KOP
SCO2051,SCO2052,KOP
SCO2052,SCO2053,KOP
SCO2053,SCO2054,KOP
SCO2079,SCO2080,KOP
SCO2087,SCO2088,KOP
SCO2148,SCO2149,KOP
SCO2149,SCO2150,KOP
SCO2150,SCO2151,KOP
SCO2154,SCO2155,KOP
SCO2155,SCO2156,KOP
SCO2195,SCO2196,KOP
SCO2229,SCO2230,KOP
SCO2230,SCO2231,KOP
SCO2235,SCO2236,KOP
SCO2387,SCO2388,KOP
SCO2388,SCO2389,KOP
SCO2389,SCO2390,KOP
SCO2406,SCO2407,KOP
SCO2435,SCO2436,KOP
SCO2447,SCO2448,KOP
SCO2486,SCO2487,KOP
SCO2505,SCO2506,KOP
SCO2506,SCO2507,KOP
SCO2518,SCO2519,KOP
SCO2547,SCO2548,KOP
SCO2554,SCO2555,KOP
SCO2576,SCO2577,KOP
SCO2609,SCO2610,KOP
SCO2610,SCO2611,KOP
SCO2618,SCO2619,KOP
SCO2676,SCO2677,KOP
SCO2700,SCO2701,KOP
SCO2726,SCO2727,KOP
SCO2782,SCO2783,KOP
SCO2783,SCO2784,KOP
SCO2784,SCO2785,KOP
SCO2822,SCO2823,KOP
SCO2880,SCO2881,KOP
SCO2882,SCO2883,KOP
SCO2910,SCO2911,KOP
SCO2912,SCO2913,KOP
SCO2968,SCO2969,KOP
SCO3058,SCO3059,KOP
SCO3122,SCO3123,KOP
SCO3136,SCO3137,KOP
SCO3156,SCO3157,KOP
SCO3159,SCO3160,KOP
SCO3197,SCO3198,KOP
SCO3213,SCO3214,KOP
SCO3228,SCO3229,KOP
SCO3233,SCO3234,KOP
SCO3235,SCO3236,KOP
SCO3236,SCO3237,KOP
SCO3238,SCO3239,KOP
SCO3239,SCO3240,KOP
SCO3243,SCO3244,KOP
SCO3244,SCO3245,KOP
SCO3246,SCO3247,KOP
SCO3247,SCO3248,KOP
SCO3248,SCO3249,KOP
SCO3250,SCO3251,KOP
SCO3251,SCO3252,KOP
SCO3261,SCO3262,KOP
SCO3289,SCO3290,KOP
SCO3317,SCO3318,KOP
SCO3318,SCO3319,KOP
SCO3319,SCO3320,KOP
SCO3351,SCO3352,KOP
SCO3356,SCO3357,KOP
SCO3357,SCO3358,KOP
SCO3358,SCO3359,KOP
SCO3404,SCO3405,KOP
SCO3537,SCO3538,KOP
SCO3575,SCO3576,KOP
SCO3589,SCO3590,KOP
SCO3594,SCO3595,KOP
SCO3595,SCO3596,KOP
SCO3612,SCO3613,KOP
SCO3614,SCO3615,KOP
SCO3618,SCO3619,KOP
SCO3650,SCO3651,KOP
SCO3662,SCO3663,KOP
SCO3668,SCO3669,KOP
SCO3669,SCO3670,KOP
SCO3670,SCO3671,KOP
SCO3677,SCO3678,KOP
SCO3794,SCO3795,KOP
SCO3816,SCO3817,KOP
SCO3830,SCO3831,KOP
SCO3880,SCO3881,KOP
SCO3881,SCO3882,KOP
SCO3882,SCO3883,KOP
SCO3883,SCO3884,KOP
SCO3886,SCO3887,KOP
SCO3889,SCO3890,KOP
SCO3899,SCO3900,KOP
SCO3908,SCO3909,KOP
SCO3945,SCO3946,KOP
SCO3946,SCO3947,KOP
SCO3957,SCO3958,KOP
SCO3965,SCO3966,KOP
SCO4020,SCO4021,KOP
SCO4077,SCO4078,KOP
SCO4078,SCO4079,KOP
SCO4139,SCO4140,KOP
SCO4140,SCO4141,KOP
SCO4141,SCO4142,KOP
SCO4164,SCO4165,KOP
SCO4174,SCO4175,KOP
SCO4178,SCO4179,KOP
SCO4179,SCO4180,KOP
SCO4190,SCO4191,KOP
SCO4198,SCO4199,KOP
SCO4226,SCO4227,KOP
SCO4227,SCO4228,KOP
SCO4229,SCO4230,KOP
SCO4243,SCO4244,KOP
SCO4244,SCO4245,KOP
SCO4251,SCO4252,KOP
SCO4293,SCO4294,KOP
SCO4347,SCO4348,KOP
SCO4469,SCO4470,KOP
SCO4473,SCO4474,KOP
SCO4515,SCO4516,KOP
SCO4531,SCO4532,KOP
SCO4544,SCO4545,KOP
SCO4562,SCO4563,KOP
SCO4563,SCO4564,KOP
SCO4564,SCO4565,KOP
SCO4565,SCO4566,KOP
SCO4566,SCO4567,KOP
SCO4567,SCO4568,KOP
SCO4568,SCO4569,KOP
SCO4569,SCO4570,KOP
SCO4570,SCO4571,KOP
SCO4571,SCO4572,KOP
SCO4572,SCO4573,KOP
SCO4573,SCO4574,KOP
SCO4574,SCO4575,KOP
SCO4648,SCO4649,KOP
SCO4652,SCO4653,KOP
SCO4654,SCO4655,KOP
SCO4659,SCO4660,KOP
SCO4660,SCO4661,KOP
SCO4661,SCO4662,KOP
SCO4675,SCO4676,KOP
SCO4703,SCO4704,KOP
SCO4704,SCO4705,KOP
SCO4705,SCO4706,KOP
SCO4706,SCO4707,KOP
SCO4707,SCO4708,KOP
SCO4708,SCO4709,KOP
SCO4709,SCO4710,KOP
SCO4710,SCO4711,KOP
SCO4711,SCO4712,KOP
SCO4712,SCO4713,KOP
SCO4713,SCO4714,KOP
SCO4714,SCO4715,KOP
SCO4716,SCO4717,KOP
SCO4717,SCO4718,KOP
SCO4718,SCO4719,KOP
SCO4719,SCO4720,KOP
SCO4720,SCO4721,KOP
SCO4722,SCO4723,KOP
SCO4723,SCO4724,KOP
SCO4725,SCO4726,KOP
SCO4728,SCO4729,KOP
SCO4734,SCO4735,KOP
SCO4761,SCO4762,KOP
SCO4769,SCO4770,KOP
SCO4808,SCO4809,KOP
SCO4813,SCO4814,KOP
SCO4855,SCO4856,KOP
SCO4856,SCO4857,KOP
SCO4857,SCO4858,KOP
SCO4877,SCO4878,KOP
SCO4885,SCO4886,KOP
SCO4886,SCO4887,KOP
SCO4887,SCO4888,KOP
SCO4912,SCO4913,KOP
SCO4913,SCO4914,KOP
SCO4947,SCO4948,KOP
SCO4948,SCO4949,KOP
SCO4949,SCO4950,KOP
SCO5008,SCO5009,KOP
SCO5031,SCO5032,KOP
SCO5072,SCO5073,KOP
SCO5074,SCO5075,KOP
SCO5075,SCO5076,KOP
SCO5078,SCO5079,KOP
SCO5079,SCO5080,KOP
SCO5080,SCO5081,KOP
SCO5087,SCO5088,KOP
SCO5088,SCO5089,KOP
SCO5115,SCO5116,KOP
SCO5147,SCO5148,KOP
