gene_1,gene_2,pair_type
SCO5176,SCO5177,KOP
SCO5196,SCO5197,KOP
SCO5224,SCO5225,KOP
SCO5225,SCO5226,KOP
SCO5229,SCO5230,KOP
SCO5243,SCO5244,KOP
SCO5290,SCO5291,KOP
SCO5354,SCO5355,KOP
SCO5366,SCO5367,KOP
SCO5367,SCO5368,KOP
SCO5368,SCO5369,KOP
SCO5369,SCO5370,KOP
SCO5370,SCO5371,KOP
SCO5371,SCO5372,KOP
SCO5372,SCO5373,KOP
SCO5373,SCO5374,KOP
SCO5440,SCO5441,KOP
SCO5441,SCO5442,KOP
SCO5442,SCO5443,KOP
SCO5478,SCO5479,KOP
SCO5498,SCO5499,KOP
SCO5512,SCO5513,KOP
SCO5535,SCO5536,KOP
SCO5546,SCO5547,KOP
SCO5553,SCO5554,KOP
SCO5570,SCO5571,KOP
SCO5583,SCO5584,KOP
SCO5584,SCO5585,KOP
SCO5585,SCO5586,KOP
SCO5591,SCO5592,KOP
SCO5593,SCO5594,KOP
SCO5598,SCO5599,KOP
SCO5601,SCO5602,KOP
SCO5624,SCO5625,KOP
SCO5626,SCO5627,KOP
SCO5695,SCO5696,KOP
SCO5707,SCO5708,KOP
SCO5708,SCO5709,KOP
SCO5724,SCO5725,KOP
SCO5729,SCO5730,KOP
SCO5737,SCO5738,KOP
SCO5739,SCO5740,KOP
SCO5774,SCO5775,KOP
SCO5775,SCO5776,KOP
SCO5776,SCO5777,KOP
SCO5804,SCO5805,KOP
SCO5862,SCO5863,KOP
SCO5877,SCO5878,KOP
SCO5878,SCO5879,KOP
SCO5879,SCO5880,KOP
SCO5882,SCO5883,KOP
SCO5883,SCO5884,KOP
SCO5884,SCO5885,KOP
SCO5885,SCO5886,KOP
SCO5886,SCO5887,KOP
SCO5888,SCO5889,KOP
SCO5889,SCO5890,KOP
SCO5890,SCO5891,KOP
SCO5891,SCO5892,KOP
SCO5892,SCO5893,KOP
SCO5893,SCO5894,KOP
SCO5894,SCO5895,KOP
SCO5895,SCO5896,KOP
SCO5896,SCO5897,KOP
SCO5897,SCO5898,KOP
SCO5975,SCO5976,KOP
SCO6005,SCO6006,KOP
SCO6010,SCO6011,KOP
SCO6081,SCO6082,KOP
SCO6097,SCO6098,KOP
SCO6098,SCO6099,KOP
SCO6100,SCO6101,KOP
SCO6138,SCO6139,KOP
SCO6145,SCO6146,KOP
SCO6179,SCO6180,KOP
SCO6180,SCO6181,KOP
SCO6181,SCO6182,KOP
SCO6182,SCO6183,KOP
SCO6183,SCO6184,KOP
SCO6184,SCO6185,KOP
SCO6185,SCO6186,KOP
SCO6186,SCO6187,KOP
SCO6187,SCO6188,KOP
SCO6188,SCO6189,KOP
SCO6189,SCO6190,KOP
SCO6195,SCO6196,KOP
SCO6209,SCO6210,KOP
SCO6247,SCO6248,KOP
SCO6269,SCO6270,KOP
SCO6276,SCO6277,KOP
SCO6277,SCO6278,KOP
SCO6356,SCO6357,KOP
SCO6429,SCO6430,KOP
SCO6451,SCO6452,KOP
SCO6452,SCO6453,KOP
SCO6453,SCO6454,KOP
SCO6454,SCO6455,KOP
SCO6532,SCO6533,KOP
SCO6533,SCO6534,KOP
SCO6534,SCO6535,KOP
SCO6570,SCO6571,KOP
SCO6576,SCO6577,KOP
SCO6601,SCO6602,KOP
SCO6635,SCO6636,KOP
SCO6650,SCO6651,KOP
SCO6661,SCO6662,KOP
SCO6681,SCO6682,KOP
SCO6682,SCO6683,KOP
SCO6683,SCO6684,KOP
SCO6753,SCO6754,KOP
SCO6754,SCO6755,KOP
SCO6757,SCO6758,KOP
SCO6795,SCO6796,KOP
SCO6996,SCO6997,KOP
SCO7028,SCO7029,KOP
SCO7029,SCO7030,KOP
SCO7030,SCO7031,KOP
SCO7280,SCO7281,KOP
SCO7332,SCO7333,KOP
SCO7333,SCO7334,KOP
SCO7334,SCO7335,KOP
SCO7363,SCO7364,KOP
SCO7399,SCO7400,KOP
SCO7418,SCO7419,KOP
SCO7463,SCO7464,KOP
SCO7464,SCO7465,KOP
SCO7465,SCO7466,KOP
SCO7469,SCO7470,KOP
SCO7471,SCO7472,KOP
SCO7473,SCO7474,KOP
SCO7629,SCO7630,KOP
SCO0188,SCO0189,NOP
SCO0191,SCO0192,NOP
SCO0193,SCO0194,NOP
SCO0196,SCO0197,NOP
SCO0215,SCO0216,NOP
SCO0219,SCO0220,NOP
SCO0559,SCO0560,NOP
SCO0561,SCO0562,NOP
SCO0568,SCO0569,NOP
SCO0570,SCO0571,NOP
SCO0597,SCO0598,NOP
SCO0600,SCO0601,NOP
SCO0772,SCO0773,NOP
SCO0774,SCO0775,NOP
SCO1205,SCO1206,NOP
SCO1208,SCO1209,NOP
SCO1566,SCO1567,NOP
SCO1568,SCO1569,NOP
SCO1625,SCO1626,NOP
SCO1630,SCO1631,NOP
SCO1658,SCO1659,NOP
SCO1662,SCO1663,NOP
SCO2035,SCO2036,NOP
SCO2039,SCO2040,NOP
SCO2054,SCO2055,NOP
SCO2228,SCO2229,NOP
SCO2231,SCO2232,NOP
SCO2386,SCO2387,NOP
SCO2390,SCO2391,NOP
SCO2504,SCO2505,NOP
SCO2507,SCO2508,NOP
SCO2608,SCO2609,NOP
SCO2611,SCO2612,NOP
SCO2617,SCO2618,NOP
SCO2619,SCO2620,NOP
SCO2699,SCO2700,NOP
SCO2701,SCO2702,NOP
SCO2781,SCO2782,NOP
SCO2785,SCO2786,NOP
SCO2794,SCO2795,NOP
SCO2797,SCO2798,NOP
SCO3135,SCO3136,NOP
SCO3138,SCO3139,NOP
SCO3249,SCO3250,NOP
SCO3252,SCO3253,NOP
SCO3316,SCO3317,NOP
SCO3320,SCO3321,NOP
SCO3355,SCO3356,NOP
SCO3359,SCO3360,NOP
SCO3588,SCO3589,NOP
SCO3590,SCO3591,NOP
SCO3593,SCO3594,NOP
SCO3596,SCO3597,NOP
SCO3613,SCO3614,NOP
SCO3615,SCO3616,NOP
SCO3659,SCO3660,NOP
SCO3661,SCO3662,NOP
SCO3667,SCO3668,NOP
SCO3671,SCO3672,NOP
SCO3885,SCO3886,NOP
SCO3887,SCO3888,NOP
SCO3888,SCO3889,NOP
SCO3890,SCO3891,NOP
SCO3944,SCO3945,NOP
SCO3947,SCO3948,NOP
SCO4189,SCO4190,NOP
SCO4191,SCO4192,NOP
SCO4228,SCO4229,NOP
SCO4230,SCO4231,NOP
SCO4561,SCO4562,NOP
SCO4575,SCO4576,NOP
SCO4647,SCO4648,NOP
SCO4649,SCO4650,NOP
SCO4651,SCO4652,NOP
SCO4653,SCO4654,NOP
SCO4655,SCO4656,NOP
SCO4658,SCO4659,NOP
SCO4662,SCO4663,NOP
SCO4733,SCO4734,NOP
SCO4735,SCO4736,NOP
SCO4760,SCO4761,NOP
SCO4762,SCO4763,NOP
SCO4946,SCO4947,NOP
SCO4950,SCO4951,NOP
SCO5030,SCO5031,NOP
SCO5032,SCO5033,NOP
SCO5223,SCO5224,NOP
SCO5226,SCO5227,NOP
SCO5242,SCO5243,NOP
SCO5244,SCO5245,NOP
SCO5353,SCO5354,NOP
SCO5355,SCO5356,NOP
SCO5365,SCO5366,NOP
SCO5374,SCO5375,NOP
SCO5439,SCO5440,NOP
SCO5443,SCO5444,NOP
SCO5534,SCO5535,NOP
SCO5536,SCO5537,NOP
SCO5582,SCO5583,NOP
SCO5623,SCO5624,NOP
SCO5625,SCO5626,NOP
SCO5735,SCO5736,NOP
SCO5768,SCO5769,NOP
SCO5770,SCO5771,NOP
SCO5803,SCO5804,NOP
SCO5805,SCO5806,NOP
SCO5861,SCO5862,NOP
SCO5863,SCO5864,NOP
SCO5876,SCO5877,NOP
SCO5880,SCO5881,NOP
SCO5881,SCO5882,NOP
SCO5887,SCO5888,NOP
SCO5898,SCO5899,NOP
SCO6178,SCO6179,NOP
SCO6190,SCO6191,NOP
SCO6194,SCO6195,NOP
SCO6196,SCO6197,NOP
SCO6450,SCO6451,NOP
SCO6455,SCO6456,NOP
SCO6531,SCO6532,NOP
SCO6535,SCO6536,NOP
SCO6634,SCO6635,NOP
SCO6636,SCO6637,NOP
SCO6680,SCO6681,NOP
SCO6684,SCO6685,NOP
SCO7027,SCO7028,NOP
SCO7031,SCO7032,NOP
SCO7279,SCO7280,NOP
SCO7281,SCO7282,NOP
SCO7331,SCO7332,NOP
SCO7335,SCO7336,NOP
