gene_id	old_locus_tag	gene_name	product	regulator_name	regulator_type	known_name	is_known	corr_act	corr_red	corr_cda	corr_cpk	abs_corr_act	abs_corr_red	abs_corr_cda	abs_corr_cpk	n_high_corr	mean_abs_corr
SC_RS02220	SCO0037	NA	RNA polymerase sigma-70 factor	NA	NA	NA	FALSE	0.8002240448569938	0.9824791532745725	0.9007390845597762	0.7557099592614763	0.8002240448569938	0.9824791532745725	0.9007390845597762	0.7557099592614763	2	0.8597880604882048
SC_RS02260	SCO0047	NA	MarR family winged helix-turn-helix transcriptional regulator	NA	NA	NA	FALSE	0.03449772093718	-0.2679967425580587	-0.34460750714741706	-0.4407883828453504	0.03449772093718	0.2679967425580587	0.34460750714741706	0.4407883828453504	0	0.27197258837200156
SC_RS02325	SCO0062	NA	LacI family DNA-binding transcriptional regulator	NA	NA	NA	FALSE	-0.11657641360882433	-0.6962777364843526	-0.8998488516157357	-0.9737339958434538	0.11657641360882433	0.6962777364843526	0.8998488516157357	0.9737339958434538	1	0.6716092493880916
SC_RS02455	SCO0089	NA	LysR family transcriptional regulator	NA	NA	NA	FALSE	0.17193455232009747	0.7272497667565504	0.912708420760779	0.9471263613012363	0.17193455232009747	0.7272497667565504	0.912708420760779	0.9471263613012363	2	0.6897547752846658
SC_RS02530	SCO0110	NA	helix-turn-helix transcriptional regulator	NA	NA	NA	FALSE	0.37721130798724223	0.8035777595841542	0.9077131056382655	0.8699751415125535	0.37721130798724223	0.8035777595841542	0.9077131056382655	0.8699751415125535	1	0.7396193286805538
SC_RS02550	SCO0116	NA	TetR/AcrR family transcriptional regulator	NA	NA	NA	FALSE	-0.7035475936331129	-0.23491583813702482	0.09306853935505133	0.298239231188571	0.7035475936331129	0.23491583813702482	0.09306853935505133	0.298239231188571	0	0.33244280057844
SC_RS02625	SCO0132	NA	helix-turn-helix transcriptional regulator	NA	NA	NA	FALSE	0.775151317697913	0.9343156013002067	0.8582623594841001	0.6966511348456308	0.775151317697913	0.9343156013002067	0.8582623594841001	0.6966511348456308	1	0.8160951033319627
SC_RS02660	SCO0140	NA	MerR family transcriptional regulator	NA	NA	NA	FALSE	0.8926592160562073	0.6596010809093513	0.3996184480369052	0.14799102130383146	0.8926592160562073	0.6596010809093513	0.3996184480369052	0.14799102130383146	0	0.5249674415765738
SC_RS02680	SCO0143	NA	TetR/AcrR family transcriptional regulator	NA	NA	NA	FALSE	0.5000499823909921	-0.07179875143379778	-0.33776834474270906	-0.5655407048261105	0.5000499823909921	0.07179875143379778	0.33776834474270906	0.5655407048261105	0	0.36878944584840234
SC_RS02735	SCO0155	NA	TetR/AcrR family transcriptional regulator	NA	NA	NA	FALSE	-0.18759900437120278	0.4528589061524839	0.7098728778869077	0.8667741481457012	0.18759900437120278	0.4528589061524839	0.7098728778869077	0.8667741481457012	0	0.5542762341390739
SC_RS02745	SCO0159	NA	sigma-70 family RNA polymerase sigma factor	NA	NA	NA	FALSE	0.8496528117963785	0.6052712253010897	0.36263899828928386	0.1088504518284891	0.8496528117963785	0.6052712253010897	0.36263899828928386	0.1088504518284891	0	0.48160337180381035
SC_RS02915	SCO0193	NA	MerR family transcriptional regulator	NA	NA	NA	FALSE	-0.8466330987285055	-0.8062537927470897	-0.6431477582407508	-0.42455035777504807	0.8466330987285055	0.8062537927470897	0.6431477582407508	0.42455035777504807	0	0.6801462518728486
SC_RS02920	SCO0194	NA	sigma-70 family RNA polymerase sigma factor	NA	NA	NA	FALSE	0.11451408279038411	-0.4935070031222962	-0.746732203110323	-0.8516181910461017	0.11451408279038411	0.4935070031222962	0.746732203110323	0.8516181910461017	0	0.5515928700172762
SC_RS02965	SCO0203	NA	two-component system sensor histidine kinase	NA	NA	NA	FALSE	0.5733551727138825	0.9438240900236162	0.9769357672774432	0.8996251158096958	0.5733551727138825	0.9438240900236162	0.9769357672774432	0.8996251158096958	2	0.8484350364561595
SC_RS02970	SCO0204	NA	response regulator	NA	NA	NA	FALSE	0.6125643727459487	0.9438553198240652	0.9585894047325465	0.8629066248061367	0.6125643727459487	0.9438553198240652	0.9585894047325465	0.8629066248061367	2	0.8444789305271743
SC_RS03000	SCO0211	NA	sensor histidine kinase	NA	NA	NA	FALSE	0.6644573252098804	0.9386264051115765	0.9293839157197317	0.8071714354415085	0.6644573252098804	0.9386264051115765	0.9293839157197317	0.8071714354415085	2	0.8349097703706743
SC_RS03080	SCO0230	NA	TetR/AcrR family transcriptional regulator	NA	NA	NA	FALSE	-0.8433010409057056	-0.4217535098989542	-0.0957587475623711	0.16814958605894723	0.8433010409057056	0.4217535098989542	0.0957587475623711	0.16814958605894723	0	0.38224072110649454
SC_RS03095	SCO0233	NA	helix-turn-helix transcriptional regulator	NA	NA	NA	FALSE	0.6907644904468633	0.6933714676112123	0.5996836554199259	0.4063461667715076	0.6907644904468633	0.6933714676112123	0.5996836554199259	0.4063461667715076	0	0.5975414450623773
SC_RS03110	SCO0236	NA	helix-turn-helix transcriptional regulator	NA	NA	NA	FALSE	0.6029776364098732	0.7796358244548396	0.7519171308929774	0.6096069461277183	0.6029776364098732	0.7796358244548396	0.7519171308929774	0.6096069461277183	0	0.6860343844713521
SC_RS03135	SCO0241	NA	TetR/AcrR family transcriptional regulator	NA	NA	NA	FALSE	0.5802827838091356	0.48153893783942886	0.3489070022966803	0.1511050926147096	0.5802827838091356	0.48153893783942886	0.3489070022966803	0.1511050926147096	0	0.3904584541399886
SC_RS03175	SCO0250	NA	TetR/AcrR family transcriptional regulator	NA	NA	NA	FALSE	-0.3300940185930776	-0.7934597778103002	-0.8999796847522828	-0.8792159917047574	0.3300940185930776	0.7934597778103002	0.8999796847522828	0.8792159917047574	0	0.7256873682151045
