gene_id	old_locus_tag	known_name	corr_act	corr_red	corr_cda	corr_cpk
SC_RS18200	SCO3217	SCO3217_SARP	0.36362714374084476	0.8518964038123353	0.9699942122560403	0.9580101567253302
SC_RS27585	SCO5085	SCO5085_SARP	0.9171614488278715	0.8733038746590754	0.6897715591818605	0.46526998390522317
SC_RS33650	SCO6280	SCO6280_SARP	0.2550698807895084	0.7928125803832393	0.9487530537930571	0.9699827226477711
SC_RS33690	SCO6288	SCO6288_SARP	0.36037084092532046	0.8400354835192951	0.9575220694795127	0.9398532393351814
SC_RS18240	SCO3225	absA1	0.6512194835990697	0.9707789830200417	0.9717189681357999	0.8709657486236603
SC_RS18245	SCO3226	absA2	0.19441892711431713	0.7270512844254506	0.8999190573571203	0.9553006387629752
SC_RS27570	SCO5082	actII-orf4	0.9535598964902903	0.5716056936941317	0.25019143894453316	-0.02451334426953332
SC_RS25560	SCO4677	atrA	0.44810443328542204	0.8841590834071132	0.9689544235226407	0.9273073168166243
SC_RS33660	SCO6282	cpkO/kasO	0.4540812186817449	0.8842303139145464	0.965250362110279	0.9194529432848267
SC_RS31630	SCO5877	redD	0.3853072077188875	0.8632972497260358	0.9732439865544452	0.9549062359993321
SC_RS31650	SCO5881	redZ	0.5779101282272001	0.9534209055415878	0.9760000105202414	0.9180076192695203
SC_RS33575	SCO6265	scbR	-0.25217290719131086	0.4037719618703402	0.6949142554358563	0.8655068446892744
SC_RS33680	SCO6286	scbR2	0.4582514142646061	0.8871997525739314	0.9685796415115964	0.9217457964379139
