bgc_name	gene_id	old_locus_tag	gene_name	product	known_name	is_known	corr	sign	corr_rank
cda	SC_RS21215	SCO3818	NA	response regulator	NA	FALSE	0.9843126321735456	+	4
cda	SC_RS09265	SCO1458	NA	Lrp/AsnC family transcriptional regulator	NA	FALSE	-0.9832762330966056	-	5
cda	SC_RS25930	SCO4754	NA	LacI family DNA-binding transcriptional regulator	NA	FALSE	-0.9813495530261226	-	6
cda	SC_RS22050	SCO3981	NA	GntR family transcriptional regulator	NA	FALSE	-0.9811698412884529	-	7
cda	SC_RS28620	SCO5287	NA	MarR family winged helix-turn-helix transcriptional regulator	NA	FALSE	-0.9804828143054295	-	8
cda	SC_RS23170	SCO4197	NA	MarR family winged helix-turn-helix transcriptional regulator	NA	FALSE	-0.9803744109967246	-	9
cda	SC_RS29775	SCO5518	NA	PucR family transcriptional regulator	NA	FALSE	-0.9786461707378018	-	10
cda	SC_RS40740	SCO7711	NA	sensor histidine kinase	NA	FALSE	0.9779406099763246	+	11
cda	SC_RS02965	SCO0203	NA	two-component system sensor histidine kinase	NA	FALSE	0.9769357672774432	+	12
cda	SC_RS28935	SCO5351	NA	response regulator	NA	FALSE	0.9767822490133894	+	13
cda	SC_RS26000	SCO4768	NA	response regulator transcription factor	NA	FALSE	0.9765807327048224	+	14
cda	SC_RS24215	SCO4409	NA	sigma-70 family RNA polymerase sigma factor	NA	FALSE	0.9764044045229352	+	15
cda	SC_RS31650	SCO5881	NA	response regulator transcription factor	redZ	TRUE	0.9760000105202414	+	16
cda	SC_RS31295	SCO5811	NA	TetR/AcrR family transcriptional regulator	NA	FALSE	0.9755567301627739	+	17
cda	SC_RS20030	SCO3579	wblA	transcriptional regulator WblA	NA	FALSE	0.97446546277516	+	18
cda	SC_RS05835	SCO0781	NA	anti-sigma factor antagonist	NA	FALSE	0.9741816647221485	+	19
cda	SC_RS06045	SCO0823	NA	GntR family transcriptional regulator	NA	FALSE	-0.9735742420314513	-	20
cda	SC_RS31630	SCO5877	NA	AfsR/SARP family transcriptional regulator	redD	TRUE	0.9732439865544452	+	21
cda	SC_RS23300	SCO4223	NA	AraC family transcriptional regulator	NA	FALSE	-0.9729613705516381	-	22
cda	SC_RS09025	SCO1410	NA	GntR family transcriptional regulator	NA	FALSE	-0.972277376907964	-	23
cda	SC_RS12960	SCO2184	NA	helix-turn-helix transcriptional regulator	NA	FALSE	-0.9720307669630162	-	24
cda	SC_RS18240	SCO3225	NA	sensor histidine kinase	absA1	TRUE	0.9717189681357999	+	25
cda	SC_RS18200	SCO3217	NA	AfsR/SARP family transcriptional regulator	SCO3217_SARP	TRUE	0.9699942122560403	+	26
