threshold	n_both	n_A_only	n_C_only	n_neither	N	OR	CI95_lower	CI95_upper	p_fisher	P_6mA_given_4mC	P_6mA	fold_vs_independence
0.5	51238	42182	57492	49400	200312	1.04372	1.02549	1.06228	1.97406e-06	0.471241	0.466372	1.01
0.55	43452	39848	59830	57182	200312	1.04218	1.02381	1.06088	5.27176e-06	0.420712	0.415851	1.012
0.6	37565	38236	60619	63892	200312	1.0355	1.01696	1.05437	0.000154923	0.382598	0.378415	1.011
0.65	32298	36806	60131	71077	200312	1.03726	1.01827	1.0566	0.000104506	0.349436	0.344982	1.013
0.7	26091	34017	60066	80138	200312	1.0233	1.00375	1.04323	0.0193482	0.302831	0.300072	1.009
0.75	20596	31173	58883	89660	200312	1.00603	0.985679	1.02681	0.566119	0.259138	0.258442	1.003
0.8	15937	28131	56576	99668	200312	0.998033	0.976315	1.02023	0.861896	0.219781	0.219997	0.999
0.85	10672	23225	52945	113470	200312	0.984796	0.960351	1.00986	0.233879	0.167754	0.169221	0.991
0.9	5932	17479	46256	130645	200312	0.958538	0.928998	0.989017	0.00795386	0.113666	0.116873	0.973
