threshold	n_both	n_A_only	n_C_only	n_neither	total	OR	p_value	expected_both	fold_enrichment	P_A	P_A_given_C
0.5	1408	46866	1401	151155	200830	3.2414	5.5366645822749645e-199	675.2	2.085	0.2404	0.5012
0.55	1060	41659	1277	156834	200830	3.125	2.3493627538940606e-150	497.1	2.132	0.2127	0.4536
0.6	803	37989	1170	160868	200830	2.9063	9.384951031532786e-107	381.1	2.107	0.1932	0.407
0.65	585	34689	1056	164500	200830	2.627	4.5550941241505317e-69	288.2	2.03	0.1756	0.3565
0.7	410	30126	940	169354	200830	2.4519	3.730562760156471e-45	205.3	1.997	0.152	0.3037
0.75	298	25977	787	173768	200830	2.5329	2.6155956358909934e-36	142.0	2.099	0.1308	0.2747
0.8	193	22125	646	177866	200830	2.4018	1.2657244333454933e-22	93.2	2.07	0.1111	0.23
0.85	107	17076	528	183119	200830	2.1732	1.8689443924174193e-11	54.3	1.969	0.0856	0.1685
0.9	40	11849	384	188557	200830	1.6576	0.003756931018719027	25.1	1.594	0.0592	0.0943
