threshold	n_both	n_A_only	n_C_only	n_neither	total	OR	p_value	expected_both	fold_enrichment	P_A	P_A_given_C	P_C
0.5	51238	42182	57492	49400	200312	1.0437	1.9740610135039467e-06	50708.7	1.01	0.4664	0.4712	0.5428
0.55	43452	39848	59830	57182	200312	1.0422	5.271755234587288e-06	42950.0	1.012	0.4159	0.4207	0.5156
0.6	37565	38236	60619	63892	200312	1.0355	0.00015492346087149045	37154.3	1.011	0.3784	0.3826	0.4902
0.65	32298	36806	60131	71077	200312	1.0373	0.00010450568922868198	31886.3	1.013	0.345	0.3494	0.4614
0.7	26091	34017	60066	80138	200312	1.0233	0.01934821789374513	25853.3	1.009	0.3001	0.3028	0.4301
0.75	20596	31173	58883	89660	200312	1.006	0.5661193972424736	20540.7	1.003	0.2584	0.2591	0.3968
0.8	15937	28131	56576	99668	200312	0.998	0.8618963306891713	15952.6	0.999	0.22	0.2198	0.362
0.85	10672	23225	52945	113470	200312	0.9848	0.2338788726292061	10765.3	0.991	0.1692	0.1678	0.3176
0.9	5932	17479	46256	130645	200312	0.9585	0.00795385544108317	6099.4	0.973	0.1169	0.1137	0.2605
