threshold	n_both	n_A_only	n_C_only	n_neither	N	OR	CI95_lower	CI95_upper	p_fisher	P_6mA_given_4mC	P_6mA	fold_vs_independence
0.5	1408	46866	1401	151155	200830	3.24137	3.00811	3.49272	5.53666e-199	0.501246	0.240372	2.085
0.55	1060	41659	1277	156834	200830	3.12497	2.87851	3.39254	2.34936e-150	0.453573	0.212712	2.132
0.6	803	37989	1170	160868	200830	2.90631	2.6548	3.18164	9.38495e-107	0.406994	0.193158	2.107
0.65	585	34689	1056	164500	200830	2.62704	2.37305	2.90821	4.55509e-69	0.35649	0.175641	2.03
0.7	410	30126	940	169354	200830	2.45194	2.18198	2.7553	3.73056e-45	0.303704	0.152049	1.997
0.75	298	25977	787	173768	200830	2.53293	2.21538	2.89598	2.6156e-36	0.274654	0.130832	2.099
0.8	193	22125	646	177866	200830	2.40179	2.04383	2.82244	1.26572e-22	0.230036	0.111129	2.07
0.85	107	17076	528	183119	200830	2.17319	1.7644	2.67669	1.86894e-11	0.168504	0.0855599	1.969
0.9	40	11849	384	188557	200830	1.65764	1.19628	2.29691	0.00375693	0.0943396	0.0591993	1.594
