threshold	n_both	n_A_only	n_C_only	n_neither	N	OR	CI95_lower	CI95_upper	p_fisher	P_6mA_given_4mC	P_6mA	fold_vs_independence
0.5	25125	22947	28094	124146	200312	4.83837	4.73266	4.94644	0	0.472106	0.239986	1.967
0.55	21317	21213	29253	128529	200312	4.41524	4.31546	4.51733	0	0.421535	0.212319	1.985
0.6	18457	20162	29625	132068	200312	4.081	3.98578	4.1785	0	0.383865	0.192794	1.991
0.65	15871	19253	29425	135763	200312	3.80339	3.71132	3.89774	0	0.350384	0.175346	1.998
0.7	12769	17635	29451	140457	200312	3.45322	3.36457	3.54422	0	0.30244	0.151783	1.993
0.75	10108	16052	28856	145296	200312	3.17069	3.08342	3.26043	0	0.259419	0.130596	1.986
0.8	7829	14390	27741	150352	200312	2.94871	2.86054	3.03961	0	0.220101	0.110922	1.984
0.85	5239	11874	25986	157213	200312	2.66932	2.57736	2.76456	0	0.167782	0.0854317	1.964
0.9	2927	8913	22691	165781	200312	2.39927	2.296	2.5072	1.22413e-291	0.114256	0.0591078	1.933
