contrast	total_tested	up_padj005	down_padj005	up_padj005_lfc1	down_padj005_lfc1
2_vs_1	7646	2563	2697	2003	1845
3_vs_1	7646	3290	2898	2766	2075
3_vs_2	7646	2639	2904	2014	1493
