gene_id	baseMean	log2FoldChange	lfcSE	pvalue	padj
SC_RS02085	51.55349145962415	7.735271409749111	2.479358424828949	2.145117583322893e-9	5.003529298989274e-9
SC_RS02090	37.64038128547583	7.031963909443203	2.412961562074796	3.777997124956026e-8	7.920637789255216e-8
SC_RS02110	9.087768831491523	5.750986768526444	2.358959323876884	9.48808103357248e-6	1.6178828631287955e-5
SC_RS02160	13.034163353926742	1.80766783371857	0.6012499415581445	6.104067068428049e-4	8.947794632898938e-4
SC_RS02180	94.39519999357171	-0.908055134371964	0.22497401069753573	3.493633619209379e-5	5.6846824116779983e-5
SC_RS02185	14.692698854396301	0.5567979726033606	0.49761070983721806	0.20286352377444986	0.2301668649324
SC_RS02190	15.482397435698694	1.313709002100099	0.5117355519203379	0.003847978638679046	0.005265147578979955
SC_RS02195	47.59416216108941	-0.9371840830729052	0.2716557107338839	3.3583003171260944e-4	5.026931132487494e-4
SC_RS02200	553.2202663524433	6.342246465205891	0.3841546987759804	3.190821277965655e-61	7.154551170476656e-60
SC_RS02210	9.174542711393826	4.670246351020589	1.0947434744410764	8.883209315882858e-6	1.5181273676629489e-5
SC_RS02220	189.42125341908246	1.2469573380375323	0.23051125024823094	2.6991523261474023e-8	5.747067303181019e-8
SC_RS02225	14.518810416961514	2.5501184271158226	0.5712469810551111	1.5918960562037593e-6	2.9153622145470524e-6
SC_RS02230	19.79396487595689	3.8565201374714007	0.7093310845292851	6.10901449057617e-9	1.3762382084544902e-8
SC_RS02240	18.560035499335974	3.7549458906205757	0.6084742574386742	1.4131903002541391e-10	3.6065597582587277e-10
SC_RS02245	35.34932191665595	1.563668452208468	0.351950448006826	2.9462110237383566e-6	5.250985894522955e-6
SC_RS02250	16.699463121113997	1.090855466850782	0.5033464609970899	0.014160202145242398	0.018297939091181912
SC_RS02255	20.779131228217874	0.537297232093022	0.47654254704490623	0.2043741142374242	0.23181196817376432
SC_RS02260	88.71235818703218	-0.031670425710263864	0.22624627322770768	0.8847249392728969	0.8956185470250986
SC_RS02270	12.376786515211272	2.5616205539847687	0.6289271170391459	7.808228365569192e-6	1.3407077045394575e-5
SC_RS02275	7.34895013975011	4.8923681088288955	1.3409441550073158	1.8733995968603297e-5	3.118661728193791e-5
SC_RS02280	23.361138789183755	3.7336594892313304	0.583119601422989	2.609397026352535e-11	7.042516647896747e-11
SC_RS02285	51.054448117675484	0.41597324739498687	0.30165513901177443	0.1496234980144842	0.17260429478255074
SC_RS02290	208.0716971292935	0.08398496968145443	0.1738523886881343	0.6249962238781483	0.6552604170014542
SC_RS02295	10.055893442838485	2.450797449933316	0.7475059007197857	2.3136880655042275e-4	3.5100116961994687e-4
SC_RS02300	65.23611126722864	-1.2288343700288777	0.2673196632598027	1.9672102170706075e-6	3.567668244715812e-6
SC_RS02305	79.9899631634891	-1.3017148660251896	0.238503377911787	1.9391858035217264e-8	4.188422218566983e-8
