Metric	Value
Total promoters analyzed	8,083
Promoters with AAGCCCG motif	416
AAGCCCG motif prevalence	5.1%
Total AAGCCCG sites (TSS ±500bp)	849
Methylated AAGCCCG sites	669
Unmethylated AAGCCCG sites	180
Methylation rate	78.8%
TSS-proximal AAGCCCG sites (±200bp)	479
TSS-proximal methylated	373
TSS-proximal methylation rate	77.9%
Coordinated (methylation + expression)	163
SC_RS17645 (MTase) LFC T2vT1	-2.19 (padj = 6.5e-16)
SC_RS17645 (MTase) LFC T3vT1	-0.71 (padj = 3.3e-3)
afsS 4mC site TSS distance	172 bp upstream
redZ 6mA site TSS distance	108 bp upstream
