group	n	n_zero	n_nonzero	spearman_rho	spearman_p	mw_U	mw_p	rank_biserial_r	median_LFC_zero	median_LFC_nonzero
exposed	57	44	13	-0.4024657826629279	0.0019116454353515788	448.0	0.0021298304162995704	-0.5664335664335665	1.0590561582997662	-1.3096522610330428
shielded	944	869	75	-0.05184203154926333	0.11143306106644542	36237.0	0.10725046066553226	-0.11199079401611045	-0.1741048302880306	-0.3937666553286359
