gene_id	old_locus_tag	product	timepoint	sample	norm_count
SC_RS13305	SCO2256	3-methyl-2-oxobutanoate hydroxymethyltransferase	T1	M145_1_2	379.6826618423174
SC_RS13305	SCO2256	3-methyl-2-oxobutanoate hydroxymethyltransferase	T1	M145_1_3	400.60651187769264
SC_RS13305	SCO2256	3-methyl-2-oxobutanoate hydroxymethyltransferase	T2	M145_2_1	126.64884808369824
SC_RS13305	SCO2256	3-methyl-2-oxobutanoate hydroxymethyltransferase	T2	M145_2_3	90.19603901875092
SC_RS13305	SCO2256	3-methyl-2-oxobutanoate hydroxymethyltransferase	T2	M145_2_4	88.49438218758131
SC_RS13305	SCO2256	3-methyl-2-oxobutanoate hydroxymethyltransferase	T3	M145_3_2	314.0471061465711
SC_RS13305	SCO2256	3-methyl-2-oxobutanoate hydroxymethyltransferase	T3	M145_3_3	391.4678315639038
SC_RS13305	SCO2256	3-methyl-2-oxobutanoate hydroxymethyltransferase	T3	M145_3_4	265.8087850068357
SC_RS26345	SCO4837	glycine hydroxymethyltransferase	T1	M145_1_1	221.8670330226223
SC_RS26345	SCO4837	glycine hydroxymethyltransferase	T1	M145_1_2	227.1415337707705
SC_RS26345	SCO4837	glycine hydroxymethyltransferase	T1	M145_1_3	205.85537177510432
SC_RS26345	SCO4837	glycine hydroxymethyltransferase	T2	M145_2_1	387.8620972563258
SC_RS26345	SCO4837	glycine hydroxymethyltransferase	T2	M145_2_3	416.1902943293792
SC_RS26345	SCO4837	glycine hydroxymethyltransferase	T2	M145_2_4	421.18845193076675
SC_RS26345	SCO4837	glycine hydroxymethyltransferase	T3	M145_3_2	246.60531979405368
SC_RS26345	SCO4837	glycine hydroxymethyltransferase	T3	M145_3_3	285.81600202250934
SC_RS26345	SCO4837	glycine hydroxymethyltransferase	T3	M145_3_4	192.73144532217697
SC_RS39465	SCO7452	methyltransferase	T1	M145_1_1	13.605053911764577
SC_RS39465	SCO7452	methyltransferase	T1	M145_1_2	10.0209500192987
SC_RS39465	SCO7452	methyltransferase	T1	M145_1_3	9.39588833828277
SC_RS39465	SCO7452	methyltransferase	T2	M145_2_1	54.27807775015638
SC_RS39465	SCO7452	methyltransferase	T2	M145_2_3	55.40613825437557
SC_RS39465	SCO7452	methyltransferase	T2	M145_2_4	49.288010332323765
SC_RS39465	SCO7452	methyltransferase	T3	M145_3_2	53.135952883801615
SC_RS39465	SCO7452	methyltransferase	T3	M145_3_3	31.139486601674168
SC_RS39465	SCO7452	methyltransferase	T3	M145_3_4	44.16762288633222
SC_RS11875	SCO1969	methylated-DNA--[protein]-cysteine S-methyltransferase	T1	M145_1_1	374.6622538778245
SC_RS11875	SCO1969	methylated-DNA--[protein]-cysteine S-methyltransferase	T1	M145_1_2	362.9810784768195
SC_RS11875	SCO1969	methylated-DNA--[protein]-cysteine S-methyltransferase	T1	M145_1_3	384.37725020247694
SC_RS11875	SCO1969	methylated-DNA--[protein]-cysteine S-methyltransferase	T2	M145_2_1	17541.996252878664
SC_RS11875	SCO1969	methylated-DNA--[protein]-cysteine S-methyltransferase	T2	M145_2_3	18443.80146449144
SC_RS11875	SCO1969	methylated-DNA--[protein]-cysteine S-methyltransferase	T2	M145_2_4	14330.489004123136
SC_RS11875	SCO1969	methylated-DNA--[protein]-cysteine S-methyltransferase	T3	M145_3_2	1742.5867625226222
SC_RS11875	SCO1969	methylated-DNA--[protein]-cysteine S-methyltransferase	T3	M145_3_3	3046.1090643566267
SC_RS11875	SCO1969	methylated-DNA--[protein]-cysteine S-methyltransferase	T3	M145_3_4	1534.624133377834
SC_RS06105	SCO0835	class I SAM-dependent methyltransferase	T1	M145_1_1	6.279255651583651
SC_RS06105	SCO0835	class I SAM-dependent methyltransferase	T1	M145_1_2	7.794072237232322
SC_RS06105	SCO0835	class I SAM-dependent methyltransferase	T1	M145_1_3	11.958403339632616
SC_RS06105	SCO0835	class I SAM-dependent methyltransferase	T2	M145_2_1	15.831106010462278
SC_RS06105	SCO0835	class I SAM-dependent methyltransferase	T2	M145_2_3	11.59663358812512
SC_RS06105	SCO0835	class I SAM-dependent methyltransferase	T2	M145_2_4	15.682548742103016
SC_RS06105	SCO0835	class I SAM-dependent methyltransferase	T3	M145_3_2	32.6990479284933
SC_RS06105	SCO0835	class I SAM-dependent methyltransferase	T3	M145_3_3	13.345494257860356
SC_RS06105	SCO0835	class I SAM-dependent methyltransferase	T3	M145_3_4	31.318859864853753
SC_RS06595	SCO0929	SAM-dependent methyltransferase	T1	M145_1_1	63.83909912443379
SC_RS06595	SCO0929	SAM-dependent methyltransferase	T1	M145_1_2	60.12570011579219
SC_RS06595	SCO0929	SAM-dependent methyltransferase	T1	M145_1_3	66.625390035096
SC_RS06595	SCO0929	SAM-dependent methyltransferase	T2	M145_2_1	421.7858958501735
SC_RS06595	SCO0929	SAM-dependent methyltransferase	T2	M145_2_3	405.8821755843792
SC_RS06595	SCO0929	SAM-dependent methyltransferase	T2	M145_2_4	470.4764622630905
SC_RS06595	SCO0929	SAM-dependent methyltransferase	T3	M145_3_2	180.5259937718901
SC_RS06595	SCO0929	SAM-dependent methyltransferase	T3	M145_3_3	202.4066629108821
SC_RS06595	SCO0929	SAM-dependent methyltransferase	T3	M145_3_4	146.1546793693175
