angle	subset	pair	motif	window	metric	n	rho	p	sig	sign	n_pos	n_neg	mean_diff
1_window_size	all	T2vsT1	all	100	dcount~LFC	57	0.11073050216856231	0.4122150827888565	False	1			
1_window_size	all	T2vsT1	all	200	dcount~LFC	57	0.11358696594514366	0.40018470853809857	False	1			
1_window_size	all	T2vsT1	all	293	dcount~LFC	57	0.10149635312063439	0.45250391896837233	False	1			
1_window_size	all	T2vsT1	all	500	dcount~LFC	57	0.20729076145160577	0.12181565693021566	False	1			
1_window_size	all	T2vsT1	all	1000	dcount~LFC	57	0.22776057329913396	0.08839347652567	False	1			
1_window_size	all	T2vsT1	all	2000	dcount~LFC	57	0.2503557486641828	0.06033976385012994	False	1			
1_window_size	all	T2vsT1	all_4mC	100	dcount~LFC	57	0.2299459547356292	0.08529915549463944	False	1			
1_window_size	all	T2vsT1	all_4mC	200	dcount~LFC	57	0.16532207290021825	0.21907947423353982	False	1			
1_window_size	all	T2vsT1	all_4mC	293	dcount~LFC	57	0.09316586309596764	0.4906313026918633	False	1			
1_window_size	all	T2vsT1	all_4mC	500	dcount~LFC	57	0.1471507830555806	0.27469668643674827	False	1			
1_window_size	all	T2vsT1	all_4mC	1000	dcount~LFC	57	0.1862537435454729	0.16537956870281093	False	1			
1_window_size	all	T2vsT1	all_4mC	2000	dcount~LFC	57	0.24184741555768102	0.06991429186442817	False	1			
1_window_size	all	T2vsT1	GCCGGC_4mC	100	dcount~LFC	57	0.2839764659770949	0.03229313469435792	True	1			
1_window_size	all	T2vsT1	GCCGGC_4mC	200	dcount~LFC	57	0.12106334801171631	0.3696845628339008	False	1			
1_window_size	all	T2vsT1	GCCGGC_4mC	293	dcount~LFC	57	0.07644420708636891	0.5719494097542666	False	1			
1_window_size	all	T2vsT1	GCCGGC_4mC	500	dcount~LFC	57	0.13591565498376204	0.3134090772652459	False	1			
1_window_size	all	T2vsT1	GCCGGC_4mC	1000	dcount~LFC	57	0.15330751758664135	0.2548910524622099	False	1			
1_window_size	all	T2vsT1	GCCGGC_4mC	2000	dcount~LFC	57	0.12878796868550632	0.3396939076983963	False	1			
1_window_size	all	T2vsT1	all_6mA	100	dcount~LFC	57	-0.052614213519587436	0.6974998722905529	False	-1			
1_window_size	all	T2vsT1	all_6mA	200	dcount~LFC	57	-0.02427600079182056	0.857744819171212	False	-1			
1_window_size	all	T2vsT1	all_6mA	293	dcount~LFC	57	0.03346531345634899	0.8048082101762951	False	1			
1_window_size	all	T2vsT1	all_6mA	500	dcount~LFC	57	0.09376769683996469	0.4878217272942886	False	1			
1_window_size	all	T2vsT1	all_6mA	1000	dcount~LFC	57	0.052152995779166884	0.7000258483317867	False	1			
1_window_size	all	T2vsT1	all_6mA	2000	dcount~LFC	57	0.05319223261589866	0.6943388036546969	False	1			
1_window_size	all	T2vsT1	AAGCCCG_6mA	100	dcount~LFC	57			False				
