locus_tag	gene	SCO	T1_mean	T2_mean	T3_mean	log2FC_T2v1	padj_T2v1	log2FC_T3v1	padj_T3v1	log2FC_T3v2	padj_T3v2
SC_RS31630	redD	SCO5877	30.627654467729688	1737.4748062329163	1008.5420125597733	5.7894075874883155	5.717037494598303e-87	4.998883834533164	3.458716656384043e-65	-0.7498722581039922	0.0027863849849283
SC_RS31635	redX	SCO5878	96.50892866437609	3657.4480140825276	2229.127252377711	5.223572719845425	1.0444191808991348e-101	4.506293966238835	5.687364086032264e-76	-0.6868043630932698	0.0028759539633886
SC_RS31640	redW	SCO5879	68.72213294121109	1837.7426362825797	945.7887176732202	4.711617690488158	2.014712268963635e-54	3.74395548948476	4.4080802322331915e-35	-0.9081718485925891	0.0013665436673887
SC_RS31645	redY	SCO5880	43.934880626101325	738.53697887335	524.0719513019397	4.03614110238112	3.8490227158226e-38	3.532747900918381	8.616782044160281e-30	-0.464493353058978	0.1049223034491441
SC_RS31650	redZ	SCO5881	690.0662196365337	1319.5129679560393	1377.275492599333	0.9068138863503556	3.114102431006804e-05	0.9663293723417876	6.189143763629263e-06	0.0582768238324108	0.8102587688180584
SC_RS31655	redV	SCO5882	13.009912809174471	95.0189588822205	215.74341535542388	2.8035466677956324	3.896542864712018e-17	3.9936087821269073	4.919910877896893e-35	1.136490037037943	3.339122587910572e-06
SC_RS31660	redU	SCO5883	6.085800399289176	94.7851527909854	265.1851135071929	3.918657768623064	2.2006111673010467e-19	5.419294395121746	1.0535332326799666e-36	1.4301819612510047	9.396507089597088e-08
SC_RS31665	redT	SCO5884	9.271589997540245	178.49057511811074	411.45135626153456	4.12653824409611	9.263551234568584e-25	5.34306456292331	3.850253536842832e-41	1.1431734605370245	0.00011471711833998624
SC_RS31670	redS	SCO5885	6.746640000332313	59.684113557383036	217.79136616565518	3.0750960078413816	2.2492054514553997e-12	4.969389848602481	3.0593458752081416e-31	1.7992262803329373	2.0407891872817487e-09
SC_RS31675	redR	SCO5886	45.76691150267451	1073.9125514050709	2611.258155682423	4.513731158140328	4.225870537207711e-53	5.801140494553172	5.767809347952495e-87	1.23443291343564	3.886615066334638e-06
SC_RS31680	redQ	SCO5887	13.420539528741406	257.17705020094496	780.5021856286327	4.198226737549501	2.2888183280127052e-29	5.814790459281897	1.447926655145322e-55	1.5404222208797602	1.699995252328515e-07
SC_RS31685	redP	SCO5888	31.63406001658264	271.81566067773366	739.5771861751358	3.0573760857787073	2.6225660022615835e-26	4.511398165009683	8.352192516357254e-57	1.4010856203018838	1.8680399410830703e-08
SC_RS31690	redO	SCO5889	0.0	27.181427201840695	103.69190127336032	7.561370501910009	2.5105576936081753e-08	9.830746061520086	5.727139296037209e-13	1.808321355586065	6.080084763143374e-06
SC_RS31695	redN	SCO5890	68.37092491656806	536.9441809152241	1469.5793274436203	2.925658970482926	1.5882573682071662e-26	4.387603163369956	2.6083162636309226e-58	1.4070130623282635	4.6853944426767974e-08
SC_RS31700	redM	SCO5891	23.37245001792557	200.91226641931613	540.4778649382912	3.0762014602647683	2.2887971604721068e-30	4.510737107399137	3.636754530912635e-66	1.394478308272887	2.019917751463272e-11
SC_RS31705	redL	SCO5892	44.21306777703325	468.574589377156	1437.280893246472	3.375120414973527	6.274759690382406e-49	4.997725000986702	5.2008509567033684e-108	1.593378655313163	2.737641421763839e-16
SC_RS31710	redK	SCO5893	11.205856202057006	156.96020663099696	492.77196741927725	3.756519148237988	1.8196158690651156e-23	5.42110339646465	2.5880398286825908e-48	1.5941059628725398	1.4688980169141874e-08
SC_RS31715	redJ	SCO5894	9.996145891545993	77.427037187836	276.6248359838749	2.848084988721325	3.3612246080177163e-16	4.703327832669052	2.4534843632080403e-44	1.793851799624076	3.179795482180909e-14
SC_RS31720	redI	SCO5895	18.154811177588414	288.9527732118817	682.9348413354861	3.938981356401516	2.403760393843726e-32	5.186477785402486	8.853697353820157e-56	1.1899295050854992	9.44185603694078e-06
SC_RS31725	redH	SCO5896	52.06281087134664	688.2394451872073	1704.7099141516264	3.683316358257795	9.596546824799376e-36	5.00001733030603	6.48838851926573e-65	1.2558288119079806	3.713996428369848e-06
SC_RS31730	redG	SCO5897	110.09657194491537	688.0339567227916	1946.806657408147	2.598068584030966	3.1333684709340684e-22	4.107009457348655	1.4526755557879775e-53	1.4549409673065752	1.914909234570636e-08
SC_RS31735	redF	SCO5898	41.812330608055866	539.7762332290886	1260.3652196673393	3.655549681340214	3.5721744045598173e-34	4.8865645136976195	2.545056837834115e-60	1.173779512342618	1.4529865526040366e-05
