sample	plus_4mC_offset	minus_4mC_offset	n_instances_both_strands_cov10	n_methylated_ge50_any_strand	n_full_both_ge50	pct_hemi	pct_full	median_pct_at_methylated_strands	mean_pct_at_methylated_strands	frac_methylated_strands_ge90	frac_methylated_strands_ge99	mean_pct_opposite_strand_at_methylated	frac_opposite_strand_ge50	pearson_r_meth	pearson_r_all	mean_plus_all	mean_minus_all
1-1	2	3	5147	332	3	99.1	0.9	90.0	86.1	0.528	0.233	1.5	0.0179	-0.942	-0.017	2.81	2.96
1-2	2	3	14722	1070	13	98.79	1.21	86.49	84.0	0.437	0.157	2.0	0.024	-0.933	-0.014	3.35	3.0
1-3	2	3	15298	1493	23	98.46	1.54	85.71	83.0	0.379	0.09	2.6	0.0303	-0.924	-0.02	4.49	4.0
2-1	2	3	15402	1555	27	98.26	1.74	85.71	82.6	0.376	0.109	3.0	0.0341	-0.917	-0.017	4.64	4.19
2-3	2	3	15295	1484	22	98.52	1.48	84.62	82.4	0.361	0.119	2.5	0.0292	-0.922	-0.02	4.44	3.94
3-2	2	3	9721	169	0	100.0	0.0	90.91	88.2	0.604	0.349	0.1	0.0	-0.965	-0.007	0.75	0.83
3-3	2	3	15092	1300	14	98.92	1.08	85.71	83.3	0.412	0.14	1.8	0.0213	-0.933	-0.025	3.92	3.55
3-4	2	3	14662	935	9	99.04	0.96	90.0	85.8	0.518	0.216	1.6	0.0191	-0.943	-0.016	2.85	2.8
