group	n_genes	median_LFC	mean_LFC	CI_lower	CI_upper	n_DEG	frac_DEG	n_up	frac_up	n_down	frac_down
Lost	3226	-0.2529321159923681	0.14138708064450245	0.06706951218911421	0.21570464909989068	2315	0.717606943583385	974	0.3019218846869188	1341	0.41568505889646623
Gained	870	0.4473828488444882	0.828357957451734	0.6807141913656266	0.9760017235378414	548	0.6298850574712643	364	0.41839080459770117	184	0.21149425287356322
Both	451	0.2501026050488422	0.7142828243021946	0.49743395074832464	0.9311316978560645	278	0.6164079822616408	167	0.37028824833702884	111	0.24611973392461198
Never	2949	0.0061786348308289	0.3155753758019399	0.24335415453191026	0.38779659707196956	2020	0.6849779586300441	1010	0.34248897931502204	1010	0.34248897931502204
