bin_center,6mA_T1,4mC_T1,6mA_T2,4mC_T2,6mA_T3,4mC_T3
-990.0,0.32166274897933933,0.20413212915996537,0.32784857107509585,0.24743288383026105,0.352591859458122,0.18557466287269578
-970.0,0.23506123963874798,0.2103179512557219,0.2536187059260176,0.2536187059260176,0.2845478164048002,0.15464555239391314
-950.0,0.22268959544723493,0.29691946059631324,0.2598045280217741,0.3897067920326611,0.30310528269206977,0.2536187059260176
-930.0,0.15464555239391314,0.17320301868118274,0.19794630706420885,0.24124706173450453,0.2536187059260176,0.12990226401088706
-910.0,0.22268959544723493,0.20413212915996537,0.22268959544723493,0.24743288383026105,0.2536187059260176,0.16083137448966967
-890.0,0.20413212915996537,0.16083137448966967,0.22268959544723493,0.24124706173450453,0.19794630706420885,0.12371644191513052
-870.0,0.2103179512557219,0.2783619943090437,0.1917604849684523,0.32784857107509585,0.20413212915996537,0.22268959544723493
-850.0,0.23506123963874798,0.30310528269206977,0.21650377335147838,0.37114932574539156,0.24124706173450453,0.2659903501175306
-830.0,0.2103179512557219,0.22887541754299146,0.24124706173450453,0.3154769268835828,0.24743288383026105,0.19794630706420885
-810.0,0.14845973029815662,0.16701719658542621,0.18557466287269578,0.19794630706420885,0.2103179512557219,0.12990226401088706
-790.0,0.2783619943090437,0.2536187059260176,0.2598045280217741,0.3154769268835828,0.2907336385005567,0.2659903501175306
-770.0,0.17938884077693923,0.17938884077693923,0.1917604849684523,0.23506123963874798,0.20413212915996537,0.16701719658542621
-750.0,0.17938884077693923,0.15464555239391314,0.1917604849684523,0.1917604849684523,0.22887541754299146,0.13608808610664355
-730.0,0.19794630706420885,0.23506123963874798,0.2536187059260176,0.30310528269206977,0.30310528269206977,0.22268959544723493
-710.0,0.1917604849684523,0.23506123963874798,0.17320301868118274,0.33403439317085243,0.24124706173450453,0.18557466287269578
-690.0,0.1917604849684523,0.18557466287269578,0.19794630706420885,0.23506123963874798,0.18557466287269578,0.14845973029815662
-670.0,0.23506123963874798,0.29691946059631324,0.2659903501175306,0.3958926141284177,0.2721761722132871,0.2659903501175306
-650.0,0.22887541754299146,0.1917604849684523,0.2536187059260176,0.21650377335147838,0.2907336385005567,0.16083137448966967
-630.0,0.17320301868118274,0.24124706173450453,0.16701719658542621,0.30310528269206977,0.2659903501175306,0.19794630706420885
-610.0,0.2103179512557219,0.2103179512557219,0.22887541754299146,0.2721761722132871,0.22268959544723493,0.17320301868118274
-590.0,0.17320301868118274,0.22887541754299146,0.16701719658542621,0.2907336385005567,0.23506123963874798,0.1917604849684523
-570.0,0.22268959544723493,0.19794630706420885,0.24743288383026105,0.22887541754299146,0.2536187059260176,0.17320301868118274
-550.0,0.22268959544723493,0.20413212915996537,0.22887541754299146,0.2659903501175306,0.24743288383026105,0.1422739082024001
-530.0,0.24124706173450453,0.11753061981937399,0.2721761722132871,0.19794630706420885,0.24743288383026105,0.09897315353210442
-510.0,0.14845973029815662,0.20413212915996537,0.18557466287269578,0.24743288383026105,0.20413212915996537,0.17320301868118274
-490.0,0.20413212915996537,0.2598045280217741,0.2659903501175306,0.2721761722132871,0.2783619943090437,0.21650377335147838
-470.0,0.1917604849684523,0.15464555239391314,0.22268959544723493,0.2536187059260176,0.2598045280217741,0.16701719658542621
