gene_id,mod_type,T1,T2,T3,sarp_zone_methyl_change_T2_vs_T1,sarp_zone_methyl_change_T3_vs_T1,log2FC_T2_vs_T1,padj_T2_vs_T1,log2FC_T3_vs_T1,padj_T3_vs_T1,bgc_name,gene_name
SC_RS18310,6mA,,51.23,,,,8.963145991520328,1.190047041178338e-46,8.924447001978722,2.580391631045089e-46,cda,cdaK
SC_RS18355,4mC,85.84,88.32,82.71,2.4799999999999898,-3.1300000000000097,8.793648487692986,6.3647519991710755e-155,8.739981738270126,7.758943036365587e-153,cda,cdaV
