locus_tag,total_sites,6mA_sites,4mC_sites,is_tf
SC_RS26965,11,2,9,True
SC_RS01695,10,8,2,True
SC_RS13965,8,3,5,True
SC_RS30370,6,3,3,True
SC_RS06415,6,6,0,True
SC_RS21185,6,6,0,True
SC_RS20985,6,3,3,True
SC_RS30290,6,3,3,True
SC_RS19190,6,3,3,True
SC_RS10090,6,3,3,True
SC_RS16475,5,0,5,True
SC_RS05945,5,5,0,True
SC_RS32025,5,3,2,True
SC_RS27105,4,3,1,True
SC_RS25990,4,1,3,True
SC_RS29845,4,4,0,True
SC_RS27300,4,2,2,True
SC_RS10530,4,4,0,True
SC_RS22135,4,3,1,True
SC_RS31340,4,0,4,True
SC_RS35610,4,4,0,True
SC_RS24380,3,3,0,True
SC_RS22295,3,0,3,True
SC_RS23725,3,0,3,True
SC_RS20165,3,3,0,True
SC_RS24295,3,3,0,True
SC_RS18905,3,3,0,True
SC_RS18125,3,0,3,True
SC_RS18030,3,0,3,True
SC_RS17975,3,0,3,True
SC_RS22050,3,0,3,True
SC_RS28915,3,0,3,True
SC_RS27290,3,0,3,True
SC_RS29370,3,0,3,True
SC_RS29770,3,0,3,True
SC_RS31040,3,3,0,True
SC_RS31445,3,3,0,True
SC_RS32835,3,3,0,True
SC_RS33075,3,2,1,True
SC_RS35025,3,3,0,True
SC_RS37660,3,0,3,True
SC_RS39630,3,3,0,True
SC_RS39915,3,0,3,True
SC_RS39960,3,3,0,True
SC_RS40245,3,3,0,True
SC_RS40705,3,1,2,True
SC_RS17830,3,3,0,True
SC_RS21605,3,0,3,True
SC_RS16060,3,0,3,True
SC_RS10735,3,0,3,True
SC_RS04975,3,3,0,True
SC_RS11615,3,3,0,True
SC_RS10220,3,3,0,True
SC_RS04460,3,3,0,True
SC_RS10880,3,0,3,True
SC_RS13055,3,3,0,True
SC_RS07285,3,0,3,True
SC_RS13190,3,0,3,True
SC_RS08620,3,0,3,True
SC_RS03430,3,3,0,True
SC_RS03185,3,0,3,True
SC_RS14635,3,0,3,True
SC_RS10280,3,0,3,True
SC_RS15495,3,3,0,True
SC_RS08090,2,0,2,True
SC_RS05485,2,2,0,True
SC_RS16855,2,0,2,True
SC_RS07000,2,0,2,True
SC_RS06430,2,2,0,True
SC_RS09835,2,2,0,True
SC_RS06310,2,2,0,True
SC_RS37035,2,2,0,True
SC_RS33745,2,2,0,True
SC_RS35195,2,2,0,True
SC_RS36220,2,2,0,True
SC_RS37610,2,0,2,True
SC_RS37940,2,0,2,True
SC_RS38785,2,0,2,True
SC_RS03710,2,2,0,True
SC_RS39850,2,2,0,True
SC_RS03600,2,2,0,True
SC_RS40435,2,2,0,True
SC_RS03135,2,2,0,True
SC_RS01305,2,2,0,True
SC_RS10190,2,1,1,True
SC_RS09315,2,2,0,True
SC_RS02325,2,0,2,True
SC_RS18680,2,0,2,True
SC_RS02455,2,0,2,True
SC_RS26490,2,2,0,True
SC_RS22780,2,2,0,True
SC_RS22980,2,0,2,True
SC_RS14025,2,0,2,True
SC_RS24140,2,0,2,True
SC_RS24335,2,0,2,True
SC_RS25370,2,2,0,True
SC_RS15270,2,0,2,True
SC_RS16920,2,0,2,True
SC_RS40205,1,0,1,True
SC_RS18200,1,1,0,True
SC_RS18160,1,1,0,True
SC_RS36810,1,0,1,True
SC_RS13145,1,1,0,True
SC_RS20330,1,1,0,True
SC_RS38605,1,0,1,True
SC_RS15485,1,1,0,True
SC_RS11810,1,1,0,True
SC_RS40930,1,0,1,True
SC_RS21600,1,1,0,True
SC_RS41225,1,1,0,True
SC_RS21680,1,0,1,True
SC_RS26855,1,1,0,True
SC_RS11515,1,1,0,True
SC_RS07805,1,1,0,True
SC_RS26275,1,1,0,True
SC_RS25945,1,1,0,True
SC_RS08720,1,1,0,True
SC_RS29350,1,1,0,True
SC_RS29355,1,1,0,True
SC_RS24470,1,1,0,True
SC_RS07910,1,0,1,True
SC_RS07560,1,0,1,True
SC_RS11410,1,1,0,True
SC_RS31385,1,1,0,True
SC_RS11030,1,1,0,True
SC_RS23710,1,1,0,True
SC_RS06045,1,1,0,True
SC_RS33650,1,1,0,True
SC_RS33895,1,1,0,True
SC_RS22420,1,1,0,True
SC_RS05075,1,1,0,True
