comparison,mod_type,n_methyl_degs,n_tf,tf_rate,bg_tf_rate,p_binom
T2_vs_T1,6mA,315,34,10.793650793650794,10.346832009300524,0.42402790239193067
T2_vs_T1,4mC,352,23,6.534090909090909,10.346832009300524,0.9950182898818329
T3_vs_T1,6mA,397,45,11.335012594458437,9.532433322357589,0.12878552088024497
T3_vs_T1,4mC,408,36,8.823529411764707,9.532433322357589,0.711023610061523
T3_vs_T2,6mA,359,33,9.192200557103064,8.933823529411764,0.4584585681289907
T3_vs_T2,4mC,357,26,7.282913165266107,8.933823529411764,0.8847226441314593
